Item,Quantity 1,Reference(s),Value,Manufacturer Name,Manufacturer Part Number,Mouser Part Number
1,7,"C1, C14, C15, C18, C19, C20, C21",10uF,Murata Electronics,GRM188R61A106KAALD,81-GRM188R61A106KALD
2,5,"C2, C4, C6, C10, C12",100nF,Murata Electronics,GRM155R61H104KE14D,81-GRM155R61H104KE4D
3,2,"C3, C9",15pF 1%,Murata Electronics,GJM1555C1H150FB01D,81-GJM1555C1H150FB1D
4,2,"C5, C11",47uF 20%,Murata Electronics,GRM21BR61A476ME15L,81-GRM21BR61A476ME5L
5,1,C7,4.7uF 20%,SAMSUNG,CL05A475MO5NUNC,187-CL05A475MO5NUNC
6,1,C8,4.7uF 10%,SAMSUNG,CL21A475KOFNNNE,187-CL21A475KOFNNNE
7,1,C13,22pF,Murata Electronics,GJM1555C1H220GB01D,81-GJM1555C1H220GB1D
8,2,"C16, C17",4.7uF,SAMSUNG,CL05A475MO5NUNC,187-CL05A475MO5NUNC
9,1,C22,10nF,Murata Electronics,GCM155R71E103KA37D,81-GCM155R71E103KA7D
10,1,DWM3001C1,DWM3001C,Qorvo,DWM3001CTR13,772-DWM3001CTR13
11,1,E1,NN03-310,Fractus Antennas,NN03-310,128-NN03-310
12,1,F1,0.7pf,Murata Electronics,GJM1555C1HR70WB01D,81-GJM1555C1HR70WB1D
13,1,F2,15nH,Murata Electronics,LQW18AN15NG80B,N/A
14,1,FB1,120R / 0.70A,Murata Electronics,BLM15AX121SZ1D,81-BLM15AX121SZ1D
15,1,IC1,ADP5360ACBZ-2-R7,Analog Devices,ADP5360ACBZ-1-R7,584-ADP5360ACBZ-2-R7
16,2,"IC2, IC4","TCK107AG,LF",Toshiba,"TCK107AG,LF",757-TCK107AGLF
17,1,IC3,EMIF03-SIM02M8,STMicroelectronics,EMIF03-SIM02M8,511-EMIF03-SIM02M8
18,1,J1,105164-0001,Molex,105164-0001,538-105164-0001
19,2,"J2, J3",MM8130-2600RA2,MURATA,MM8130-2600RA2,81-MM8130-2600RA2
20,1,J5,SF72S006VBDR2500,JAE Electronics,SF72S006VBDR2500,656-SF72S006VBDR2500
28,1,L1,47nH,Murata Electronics,LQG15HH47NG02D,81-LQG15WH0N7B02D
29,1,L2,NC,Murata Electronics,LQG15HZ2N0S02D,81-LQG15HZ2N0S02D
30,2,"L3, L4",4.7uH,TDK,MLP2016H4R7MT0S1,810-MLP2016H4R7MT0S1
31,2,"R1, R10",10k,ROHM Semiconductor,SFR01MZPF1002,755-SFR01MZPF1002
32,1,R2,1k 1%,ROHM Semiconductor,ESR03EZPF1001,755-ESR03EZPF1001
33,2,"R3, R7",0R,KEMET,AC0402FR-070RL,603-AC0402FR-070RL
34,1,R4,100k,Panasonic,ERJ2GEJ104X,667-ERJ-2GEJ104X
36,1,U1,~,Nordic Semiconductor,NRF9160-SICA-B1A-R,949-NRF9160SICAB1AR
37,1,U2,M20057-1,Antenova,M20057-1,237-M20057-1
38,1,Z1,2.4nH,Murata Electronics,LQW15AN2N4G80D,81-LQW15AN2N4G80D
39,1,Z2,0.9pf,Murata Electronics,GJM1555C1HR90WB01D,81-GJM1555C1HR90WB1D
40,1,Z3,1.5nH,Murata Electronics,LQW15AN1N5C80D,81-LQW15AN1N5C80D
41,1,Z4,7.9nH,Murata Electronics,LQW15AN7N9G80D,81-LQW15AN7N9G80D
42,1,Z5,36pF,Murata Electronics,GJM1555C1H360FB01D,81-GJM1555C1H360FB1D
43,1,Z6,1pF,Murata Electronics,GJM1555C1H1R0WB01J,81-GJM1555C1H1R0WB1J
44,1,Z8,2.2pF,Murata Electronics,GJM1555C1H2R2WB01D,81-GJM1555C1H2R2WB1D
