"Source:","/Users/sahaschitlange/Desktop/FindMyCatV2/Hardware/FindMyCat-Hardware/FindMyCat.kicad_sch"
"Date:","2023 June 27, Tuesday 21:29:17"
"Tool:","Eeschema 7.0.2-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","64"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Case Code (in)","Description","Height","JLCPCB Part #","JLC_LINK","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","STANDARD"
"1","7","C1, C14, C15, C18, C19, C20, C21","10uF","GRM188R61A106KAALD:GRM188R61A106KAALD","Murata:CAPC1608X90N","https://datasheet.datasheetarchive.com/originals/distributors/DKDS-10/191628.pdf","","GRM188R61A106KAALD","https://www.arrow.com/en/products/grm188r61a106kaald/murata-manufacturing","0603","Murata 1608 GRM 10000nF Ceramic Multilayer Capacitor, 10 V dc, +85C, X5R Dielectric, +/-10%","0.9","C703114","https://jlcpcb.com/partdetail/738543-GRM188R61A106KAALD/C703114","","","Murata Electronics","GRM188R61A106KAALD","81-GRM188R61A106KALD","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM188R61A106KAALD?qs=hNud%2FORuBR1jLt1kfFGn6g%3D%3D","",""
"2","5","C2, C4, C6, C10, C12","100nF","GRM155R61H104KE14D:GRM155R61H104KE14D","Murata:CAPC1005X55N","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","GRM155R61H104KE14D","https://www.arrow.com/en/products/grm155r61h104ke14d/murata-manufacturing","","","0.55","C85960","https://jlcpcb.com/partdetail/MurataElectronics-GRM155R61H104KE14D/C85960","","","Murata Electronics","GRM155R61H104KE14D","81-GRM155R61H104KE4D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R61H104KE14D?qs=%2FlgdRqCb8a7DokhSRgWv9A%3D%3D","",""
"3","2","C3, C9","15pF 1%","GJM1555C1H150FB01D:GJM1555C1H150FB01D","Murata:CAPC1005X55N","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H150FB01-01.pdf","","GJM1555C1H150FB01D","https://www.arrow.com/en/products/gjm1555c1h150fb01d/murata-manufacturing","","","0.55","C441742","https://jlcpcb.com/partdetail/442066-GJM1555C1H150FB01D/C441742","","","Murata Electronics","GJM1555C1H150FB01D","81-GJM1555C1H150FB1D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GJM1555C1H150FB01D?qs=pwh76yelNxCUkyBwdkbCyA%3D%3D","",""
"4","2","C5, C11","47uF 20%","GRM21BR61A476ME15L:GRM21BR61A476ME15L","Murata:CAPC2012X145N","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","GRM21BR61A476ME15L","https://www.arrow.com/en/products/grm21br61a476me15l/murata-manufacturing?region=nac","0805","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 47uF 10volts *Derate Voltage/Temp","1.45","C124129","https://jlcpcb.com/partdetail/125403-GRM21BR61A476ME15L/C124129","","","Murata Electronics","GRM21BR61A476ME15L","81-GRM21BR61A476ME5L","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM21BR61A476ME15L?qs=hNud%2FORuBR2%2FEB7WUpdltg%3D%3D","",""
"5","1","C7","4.7uF 20%","CL05A475MO5NUNC:CL05A475MO5NUNC","Samsung:CAPC1005X90N","https://datasheet.datasheetarchive.com/originals/dk/DKDS-19/372949.pdf","","CL05A475MO5NUNC","https://www.arrow.com/en/products/cl05a475mo5nunc/samsung-electro-mechanics","0402","Cap Ceramic 4.7uF 16V X5R 20% Pad SMD 0402 85C T/R","0.9","C318563","https://jlcpcb.com/partdetail/299692-CL05A475MO5NUNC/C318563","","","SAMSUNG","CL05A475MO5NUNC","187-CL05A475MO5NUNC","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL05A475MO5NUNC?qs=5aG0NVq1C4xnuxNjQNWCEw%3D%3D","",""
"6","1","C8","4.7uF 10%","CL21A475KOFNNNE:CL21A475KOFNNNE","Samsung:CAPC2012X135N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/817807cf665cbb43e2eb1572e3d26dfa.pdf","","CL21A475KOFNNNE","https://www.arrow.com/en/products/cl21a475kofnnne/samsung-electro-mechanics?region=europe","0805","Samsung Electro-Mechanics CL21A475KOFNNNE 4.7uF Ceramic Multilayer Capacitor 16V dc +/-10% Tolerance SMD","1.35","C1746","https://jlcpcb.com/partdetail/2098-CL21A475KOFNNNE/C1746","","","SAMSUNG","CL21A475KOFNNNE","187-CL21A475KOFNNNE","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL21A475KOFNNNE?qs=yOVawPpwOwlqsH7zjiqEfQ%3D%3D","",""
"7","1","C13","22pF","GJM1555C1H220GB01D:GJM1555C1H220GB01D","Murata:CAPC1005X55N","https://psearch.en.murata.com/capacitor/product/GJM1555C1H220GB01%23.html","","GJM1555C1H220GB01D","https://www.arrow.com/en/products/gjm1555c1h220gb01d/murata-manufacturing","","","0.55","C161315","https://jlcpcb.com/partdetail/172696-GJM1555C1H220GB01D/C161315","","","Murata Electronics","GJM1555C1H220GB01D","81-GJM1555C1H220GB1D","https://www.mouser.com/Search/Refine.aspx?Keyword=81-GJM1555C1H220GB1D","",""
"8","2","C16, C17","4.7uF","CL05A475MO5NUNC:CL05A475MO5NUNC","Samsung:CAPC1005X90N","https://datasheet.datasheetarchive.com/originals/dk/DKDS-19/372949.pdf","","CL05A475MO5NUNC","https://www.arrow.com/en/products/cl05a475mo5nunc/samsung-electro-mechanics","0402","Cap Ceramic 4.7uF 16V X5R 20% Pad SMD 0402 85C T/R","0.9","C318563","https://jlcpcb.com/partdetail/299692-CL05A475MO5NUNC/C318563","","","SAMSUNG","CL05A475MO5NUNC","187-CL05A475MO5NUNC","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL05A475MO5NUNC?qs=5aG0NVq1C4xnuxNjQNWCEw%3D%3D","",""
"9","1","C22","10nF","GCM155R71E103KA37D:GCM155R71E103KA37D","Murata:CAPC1005X55N","https://psearch.en.murata.com/capacitor/product/GCM155R71E103KA37%23.html","","GCM155R71E103KA37D","https://www.arrow.com/en/products/gcm155r71e103ka37d/murata-manufacturing?region=nac","","","0.55","C126526","https://jlcpcb.com/partdetail/137806-GCM155R71E103KA37D/C126526","","","Murata Electronics","GCM155R71E103KA37D","81-GCM155R71E103KA7D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCM155R71E103KA37D?qs=QDXoN8f0aYL%252BUFVi99bTNw%3D%3D","",""
"10","1","DWM3001C1","~","Qorvo:DWM3001C","Qorvo:DWM3001C","","","","","","","","","","","","","","","","",""
