Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","CAPC1608X90N",-36.600000,-3.300000,0.000000,bottom
"C2","100nF","CAPC1005X55N",-36.600000,-1.700000,0.000000,bottom
"C22","10nF","CAPC1005X55N",-18.300000,-15.200000,180.000000,bottom
"DWM3001C1","~","DWM3001C",-28.175000,-6.100000,-90.000000,bottom
"IC3","EMIF03-SIM02M8","SON40P150X170X65-9N",-18.400000,-13.400000,0.000000,bottom
"J5","SF72S006VBDR2500","SF72S006VBDR2500",-24.125000,-30.150000,180.000000,bottom
"JP1","ADP_I2C","SolderJumper-2-Rectangle_0.5mm_Pad",-30.500000,-29.450000,180.000000,bottom
"JP2","ADP_I2C","SolderJumper-2-Rectangle_0.5mm_Pad",-16.900000,-6.150000,0.000000,bottom
"JP3","nrf91_I2C","SolderJumper-2-Rectangle_0.5mm_Pad",-16.300000,-7.400000,180.000000,bottom
"JP4","nrf52_I2C","SolderJumper-2-Rectangle_0.5mm_Pad",-16.300000,-8.650000,180.000000,bottom
"R10","10k","RESC1005X40N",-26.800000,-24.150000,90.000000,bottom
"BATT","~","BatteryConnector_SMD_PADS_1.27mm",-16.375000,-28.775000,0.000000,top
"C3","15pF 1%","CAPC1005X55N",-37.000000,-13.600000,-90.000000,top
"C4","100nF","CAPC1005X55N",-37.000000,-11.460000,-90.000000,top
"C5","47uF 20%","CAPC2012X145N",-40.200000,-12.600000,-90.000000,top
"C6","100nF","CAPC1005X55N",-37.000000,-17.000000,90.000000,top
"C7","4.7uF 20%","CAPC1005X90N",-37.000000,-19.200000,-90.000000,top
"C8","4.7uF 10%","CAPC2012X135N",-40.200000,-18.200000,-90.000000,top
"C9","15pF 1%","CAPC1005X55N",-33.900000,-22.950000,0.000000,top
"C10","100nF","CAPC1005X55N",-33.900000,-24.250000,0.000000,top
"C11","47uF 20%","CAPC2012X145N",-40.200000,-21.800000,90.000000,top
"C12","100nF","CAPC1005X55N",-29.850000,-22.900000,0.000000,top
"C13","22pF","CAPC1005X55N",-16.650000,-9.050000,90.000000,top
"C14","10uF","CAPC1608X90N",-32.300000,-28.600000,90.000000,top
"C15","10uF","CAPC1608X90N",-22.900000,-22.900000,180.000000,top
"C16","4.7uF","CAPC1005X90N",-25.400000,-22.900000,0.000000,top
"C17","4.7uF","CAPC1005X90N",-27.540000,-22.900000,0.000000,top
"C18","10uF","CAPC1608X90N",-33.800000,-28.600000,90.000000,top
"C19","10uF","CAPC1608X90N",-20.800000,-23.500000,90.000000,top
"C20","10uF","CAPC1608X90N",-20.800000,-26.200000,-90.000000,top
"C21","10uF","CAPC1608X90N",-29.900000,-27.100000,0.000000,top
"E1","NN03-310","XCVR_NN03-310",-1.690000,-15.090000,-90.000000,top
"F1","0.7pf","CAPC1005X55N",-4.100000,-3.300000,-90.000000,top
"F2","15nH","LQW18AN10NG80D",-5.300000,-3.300000,-90.000000,top
"FB1","120R / 0.70A","NFZ15SG152SN10B",-37.600000,-9.400000,180.000000,top
"IC1","ADP5360ACBZ-2-R7","ADP5360ACBZ1R7",-26.300000,-27.240000,180.000000,top
"IC2","TCK107AG,LF","BGA4C40P2X2_79X79X59",-22.900000,-9.100000,0.000000,top
"IC4","TCK107AG,LF","BGA4C40P2X2_79X79X59",-42.800000,-15.400000,180.000000,top
"J1","105164-0001","1051640001",-40.598000,-27.770000,180.000000,top
"J2","MM8130-2600RA2","MURATA_MM8130-2600RA2",-16.650000,-11.800000,0.000000,top
"J3","MM8130-2600RA2","MURATA_MM8130-2600RA2",-16.500000,-16.800000,-90.000000,top
"JP5","VSYS","SolderJumper-2-Rectangle_0.5mm_Pad",-44.700000,-18.300000,90.000000,top
"JP6","VOUT1","SolderJumper-2-Rectangle_0.5mm_Pad",-43.780000,-18.300000,90.000000,top
"JP7","VOUT2","SolderJumper-2-Rectangle_0.5mm_Pad",-44.700000,-20.240000,90.000000,top
"JP8","NRF_POWER_COMMAND_1V8","SolderJumper-2-Rectangle_0.5mm_Pad",-43.690000,-19.545000,-90.000000,top
"L1","47nH","LQG15WH0N7B02D",-19.150000,-6.825000,90.000000,top
"L2","NC","LQG15WH0N7B02D",-19.425000,-0.800000,0.000000,top
"L3","4.7uH","INDC2016X100N",-22.400000,-28.800000,180.000000,top
"L4","4.7uH","INDC2016X100N",-23.000000,-25.600000,90.000000,top
"R1","10k","RESC1005X40N",-34.800000,-9.400000,180.000000,top
"R2","1k 1%","RESC1608X55N",-37.150000,-21.950000,-90.000000,top
"R3","0R","RESC1005X37N",-30.400000,-0.700000,0.000000,top
"R4","100k","ERJ2RKD1004X",-29.850000,-28.500000,0.000000,top
"R7","0R","RESC1005X37N",-29.850000,-25.700000,180.000000,top
"U1","~","NRF9160-SICA-R",-27.250000,-16.300000,0.000000,top
"U2","M20057-1","MODULE_M20057-1",-24.737500,-3.600000,0.000000,top
"Z1","2.4nH","LQW15AN10NG80D",-12.760000,-3.700000,90.000000,top
"Z2","0.9pf","CAPC1005X55N",-13.230000,-5.255000,0.000000,top
"Z3","1.5nH","LQW15AN10NG80D",-12.750000,-6.835000,90.000000,top
"Z4","7.9nH","LQW15AN10NG80D",-13.260000,-8.195000,0.000000,top
"Z5","36pF","CAPC1005X55N",-12.750000,-9.790000,90.000000,top
"Z6","1pF","CAPC1005X55N",-13.210000,-11.385000,0.000000,top
"Z8","2.2pF","CAPC1005X55N",-12.750000,-13.020000,90.000000,top
